trade_date,open,high,low,close,volume,amount,pct_chg,ma25,ma60,dif,dea,macd
2024-04-01,1590.79,1613.12,1589.59,1601.34,27131.37,4679371.035,1.08,1582.26,1557.4,6.36,7.42,-2.12
2024-04-02,1601.96,1604.74,1586.19,1594.51,25449.25,4360973.684,-0.43,1583.17,1557.21,6.48,7.24,-1.52
2024-04-03,1613.12,1618.18,1590.81,1595.55,29045.8,5002390.042,0.07,1584.42,1557.68,6.58,7.1,-1.04
2024-04-08,1576.84,1577.77,1546.7,1550.48,59166.59,9907355.766,-2.82,1583.36,1557.26,2.99,6.28,-6.58
2024-04-09,1544.9,1556.37,1542.84,1546.35,25589.82,4256226.333,-0.27,1582.51,1557.15,-0.18,4.99,-10.34
2024-04-10,1546.39,1548.92,1530.33,1533.1,27630.5,4562853.88,-0.86,1581.46,1556.91,-3.73,3.25,-13.96
2024-04-11,1525.78,1534.98,1520.74,1533.12,22766.24,3736417.595,0.0,1579.71,1556.98,-6.46,1.3,-15.52
2024-04-12,1535.91,1548.0,1520.12,1520.12,26744.33,4403968.129,-0.85,1577.98,1556.87,-9.56,-0.87,-17.38
2024-04-15,1521.03,1558.8,1521.01,1556.36,35817.71,5960815.532,2.38,1577.58,1557.36,-8.99,-2.49,-13.0
2024-04-16,1549.39,1562.48,1543.35,1553.58,26266.23,4382796.962,-0.18,1577.53,1557.72,-8.67,-3.73,-9.88
2024-04-17,1551.72,1558.42,1542.42,1550.79,24819.11,4130322.018,-0.18,1576.5,1558.09,-8.54,-4.69,-7.7
2024-04-18,1543.36,1565.66,1542.59,1554.31,26568.41,4445487.745,0.23,1573.74,1558.57,-8.05,-5.36,-5.38
2024-04-19,1545.01,1552.19,1526.87,1531.85,23499.92,3879233.242,-1.44,1570.74,1558.68,-9.38,-6.17,-6.42
2024-04-22,1538.7,1561.84,1530.33,1558.29,29951.39,5001684.635,1.73,1569.19,1560.2,-8.2,-6.57,-3.26
2024-04-23,1558.24,1576.84,1558.24,1574.31,24979.95,4217855.279,1.03,1568.25,1561.46,-5.9,-6.44,1.08
2024-04-24,1578.68,1581.41,1565.98,1575.54,17086.43,2893555.635,0.08,1567.71,1562.37,-3.94,-5.94,4.0
2024-04-25,1572.5,1577.4,1564.98,1575.02,14476.48,2447183.879,-0.03,1567.15,1563.16,-2.4,-5.23,5.66
2024-04-26,1575.91,1594.52,1575.89,1590.27,30995.92,5290248.521,0.97,1567.14,1564.56,0.06,-4.17,8.46
2024-04-29,1578.66,1607.54,1575.74,1585.21,41332.23,7072096.59,-0.32,1566.96,1565.77,1.57,-3.02,9.18
2024-04-30,1586.15,1609.29,1586.14,1586.14,30759.89,5273902.374,0.06,1567.09,1566.81,2.82,-1.86,9.36
2024-05-06,1613.09,1641.96,1606.61,1637.5,59909.49,10504351.712,3.24,1569.74,1568.72,7.86,0.09,15.54
2024-05-07,1642.7,1653.87,1634.22,1646.61,24924.52,4413196.426,0.56,1572.0,1570.58,12.44,2.56,19.76
2024-05-08,1646.32,1646.59,1633.28,1641.0,14769.09,2603293.863,-0.34,1574.34,1572.92,15.45,5.14,20.62
2024-05-09,1635.45,1641.94,1628.01,1633.59,22387.34,3929804.849,-0.45,1576.37,1575.26,17.03,7.52,19.02
2024-05-10,1638.33,1644.64,1613.11,1617.76,26206.61,4571398.242,-0.97,1577.71,1577.26,16.82,9.38,14.88
2024-05-13,1611.28,1611.88,1582.63,1587.07,37662.12,6435415.674,-1.9,1577.14,1578.97,14.01,10.3,7.42
2024-05-14,1587.07,1593.84,1581.5,1583.33,21274.17,3623282.672,-0.24,1576.69,1580.08,11.35,10.51,1.68
2024-05-15,1583.89,1588.94,1580.18,1581.49,15738.76,2677203.002,-0.12,1576.13,1580.45,8.99,10.21,-2.44
2024-05-16,1586.14,1590.68,1572.19,1585.68,29679.54,5048754.769,0.26,1577.54,1580.35,7.38,9.64,-4.52
2024-05-17,1581.5,1596.92,1581.49,1595.45,28923.88,4936920.634,0.62,1579.5,1580.49,6.81,9.08,-4.54
2024-05-20,1598.23,1612.18,1589.04,1589.87,31425.72,5401389.335,-0.35,1581.77,1580.7,5.84,8.43,-5.18
2024-05-21,1588.94,1590.54,1579.78,1586.14,16293.39,2776847.499,-0.23,1583.89,1581.25,4.71,7.68,-5.94
2024-05-22,1584.28,1590.76,1573.12,1579.36,20285.68,3443977.767,-0.43,1586.26,1580.94,3.24,6.8,-7.12
2024-05-23,1581.49,1587.43,1572.26,1574.06,18884.97,3199923.32,-0.34,1586.97,1580.53,1.62,5.76,-8.28
2024-05-24,1574.98,1576.84,1560.1,1560.17,20216.63,3401323.915,-0.88,1587.23,1579.95,-0.77,4.45,-10.44
2024-05-27,1561.03,1569.82,1551.73,1553.7,25097.91,4199001.866,-0.42,1587.35,1579.57,-3.15,2.93,-12.16
2024-05-28,1553.96,1558.39,1547.07,1548.6,23520.87,3923020.375,-0.33,1587.12,1579.18,-5.39,1.27,-13.32
2024-05-29,1549.86,1562.89,1548.93,1557.31,19651.28,3289173.345,0.56,1588.14,1579.07,-6.38,-0.26,-12.24
2024-05-30,1558.24,1558.59,1534.05,1534.05,32207.92,5333306.808,-1.49,1587.17,1578.35,-8.95,-2.0,-13.9
2024-05-31,1535.44,1547.54,1533.54,1533.54,21856.65,3617654.788,-0.03,1585.54,1577.79,-10.89,-3.78,-14.22
2024-06-03,1534.98,1535.83,1521.13,1525.11,30261.05,4966041.477,-0.55,1583.52,1577.21,-12.97,-5.62,-14.7
2024-06-04,1526.14,1540.56,1522.47,1537.96,20841.08,3432497.303,0.84,1582.04,1576.56,-13.42,-7.18,-12.48
2024-06-05,1536.84,1543.05,1528.49,1529.4,19055.57,3140824.328,-0.56,1579.6,1576.0,-14.3,-8.6,-11.4
2024-06-06,1529.08,1536.83,1521.87,1525.5,25610.05,4205700.983,-0.25,1577.22,1575.32,-15.14,-9.91,-10.46
2024-06-07,1531.38,1531.42,1506.15,1506.31,33524.55,5453120.695,-1.26,1574.02,1574.51,-17.16,-11.36,-11.6
2024-06-11,1491.25,1493.12,1457.76,1459.62,70246.76,11090577.61,-3.1,1566.91,1572.56,-22.27,-13.54,-17.46
2024-06-12,1460.56,1479.16,1460.56,1462.12,33170.5,5230086.503,0.17,1559.53,1569.88,-25.82,-16.0,-19.64
2024-06-13,1466.85,1466.96,1444.88,1446.61,36185.97,5654938.942,-1.06,1551.75,1567.2,-29.54,-18.71,-21.66
2024-06-14,1446.6,1454.94,1414.47,1446.6,59514.16,9177637.168,-0.0,1544.27,1564.7,-32.13,-21.39,-21.48
2024-06-17,1425.47,1440.8,1405.68,1434.04,48318.16,7400883.243,-0.87,1536.92,1561.97,-34.78,-24.07,-21.42
2024-06-18,1424.17,1446.17,1410.95,1415.44,41258.25,6317590.943,-1.3,1530.06,1559.07,-37.96,-26.85,-22.22
2024-06-19,1422.44,1428.14,1407.35,1425.3,41261.53,6167728.416,-1.35,1523.74,1556.34,-39.22,-29.32,-19.8
2024-06-20,1424.35,1439.55,1422.45,1424.44,24710.68,3715924.984,-0.06,1517.46,1553.58,-39.83,-31.42,-16.82
2024-06-21,1424.82,1429.08,1396.07,1396.81,43319.97,6418543.742,-1.94,1509.9,1550.36,-42.06,-33.55,-17.02
2024-06-24,1351.23,1413.89,1342.69,1402.08,63839.93,9319362.39,0.38,1502.17,1547.35,-42.91,-35.42,-14.98
2024-06-25,1402.52,1427.2,1402.52,1411.69,42097.95,6273919.386,0.68,1495.04,1544.69,-42.32,-36.8,-11.04
2024-06-26,1405.29,1425.29,1403.2,1414.04,29569.77,4414601.922,0.17,1488.15,1541.75,-41.19,-37.68,-7.02
2024-06-27,1416.68,1418.55,1393.89,1415.25,32821.78,4857959.457,0.09,1481.59,1538.97,-39.73,-38.09,-3.28
2024-06-28,1405.29,1419.04,1390.09,1393.31,38582.02,5699649.047,-1.55,1474.36,1535.81,-39.89,-38.45,-2.88
2024-07-01,1394.73,1398.63,1355.91,1367.67,32161.38,4636689.118,-1.84,1466.66,1532.2,-41.6,-39.08,-5.04
